,clus,pr,ha,la
0,1.0,423900000,900,5100
1,1.0,423900000,870,5100
2,1.0,423900000,870,5200
3,1.0,423900000,870,5200
4,1.0,423900000,870,5100
5,1.0,423900000,900,5100
6,1.0,423900000,870,5100
7,1.0,423900000,870,5100
8,1.0,423900000,870,5100
9,999.0,163040000,489,2500
10,995.0,182600000,489,2500
11,996.0,201320000,475,2500
12,996.0,201320000,475,2500
13,996.0,201320000,475,2500
14,997.0,163040000,500,2500
15,997.0,163040000,500,2500
16,997.0,163040000,500,2500
17,998.0,182600000,500,2700
18,999.0,163040000,489,2500
19,999.0,182600000,489,2500
20,999.0,182600000,489,2500
21,999.0,182600000,489,2500
22,999.0,182600000,489,2500
23,999.0,178950000,489,2500
24,999.0,178950000,489,2500
25,999.0,178950000,489,2500
26,999.0,182600000,489,2500
27,2.0,163040000,474,2600
28,2.0,163040000,474,2500
29,2.0,163040000,474,2500
30,2.0,163040000,474,2600
31,2.0,163040000,474,2500
32,2.0,163040000,474,2600
33,2.0,163040000,474,2500
34,2.0,163040000,474,2600
35,2.0,163040000,474,2500
36,2.0,163040000,474,2600
37,2.0,163040000,474,2600
38,2.0,163040000,474,2600
39,2.0,163040000,476,2500
40,2.0,163040000,474,2600
41,2.0,163040000,474,2500
42,4.0,194340000,404,2000
43,4.0,194340000,404,2000
44,7.0,179000000,400,2200
45,7.0,179000000,410,2200
46,7.0,179000000,410,2200
47,7.0,179000000,410,2200
48,3.0,190450000,404,2000
49,3.0,190450000,404,2000
50,3.0,194340000,404,2100
51,3.0,194340000,404,2000
52,3.0,194340000,404,2000
53,3.0,194340000,404,2000
54,3.0,194340000,404,2000
55,3.0,190450000,404,2000
56,993.0,241300000,500,2200
57,994.0,228250000,460,2200
58,994.0,228250000,460,2200
59,994.0,228250000,460,2200
60,998.0,273910000,504,2400
61,998.0,241300000,504,2400
62,5.0,150000000,550,3800
63,5.0,150000000,570,3900
64,5.0,150000000,570,3900
65,5.0,150000000,570,3900
66,5.0,150000000,570,3900
67,5.0,150000000,570,3900
68,5.0,150000000,570,3800
69,5.0,150000000,570,3800
70,5.0,150000000,570,3900
71,5.0,150000000,570,3900
72,5.0,150000000,570,3900
73,5.0,150000000,550,3800
