clus,price,ha,la
1,423900000,900,5100
1,423900000,870,5100
1,423900000,870,5200
1,423900000,870,5200
1,423900000,870,5100
1,423900000,900,5100
1,423900000,870,5100
1,423900000,870,5100
1,423900000,870,5100
999,163040000,489,2500
995,182600000,489,2500
996,201320000,475,2500
996,201320000,475,2500
996,201320000,475,2500
997,163040000,500,2500
997,163040000,500,2500
997,163040000,500,2500
998,182600000,500,2700
999,163040000,489,2500
999,182600000,489,2500
999,182600000,489,2500
999,182600000,489,2500
999,182600000,489,2500
999,178950000,489,2500
999,178950000,489,2500
999,178950000,489,2500
999,182600000,489,2500
2,163040000,474,2600
2,163040000,474,2500
2,163040000,474,2500
2,163040000,474,2600
2,163040000,474,2500
2,163040000,474,2600
2,163040000,474,2500
2,163040000,474,2600
2,163040000,474,2500
2,163040000,474,2600
2,163040000,474,2600
2,163040000,474,2600
2,163040000,476,2500
2,163040000,474,2600
2,163040000,474,2500
4,194340000,404,2000
4,194340000,404,2000
7,179000000,400,2200
7,179000000,410,2200
7,179000000,410,2200
7,179000000,410,2200
3,190450000,404,2000
3,190450000,404,2000
3,194340000,404,2100
3,194340000,404,2000
3,194340000,404,2000
3,194340000,404,2000
3,194340000,404,2000
3,190450000,404,2000
993,241300000,500,2200
994,228250000,460,2200
994,228250000,460,2200
994,228250000,460,2200
998,273910000,504,2400
998,241300000,504,2400
5,150000000,550,3800
5,150000000,570,3900
5,150000000,570,3900
5,150000000,570,3900
5,150000000,570,3900
5,150000000,570,3900
5,150000000,570,3800
5,150000000,570,3800
5,150000000,570,3900
5,150000000,570,3900
5,150000000,570,3900
5,150000000,550,3800
5,150000000,570,3900
992,127170000,680,2800
992,127170000,680,2800
992,127170000,680,2800
992,127170000,680,2800
992,127170000,680,2800
992,127170000,680,2800
992,127170000,680,2800
992,127170000,680,2800
992,130430000,700,2800
992,127170000,680,2800
6,143470000,667,2600
6,120000000,650,2700
6,143470000,667,2600
6,120000000,667,2600
6,143470000,667,2600
6,143470000,667,2600
6,143470000,667,2600
6,138690000,640,2700
6,143470000,667,2600
6,120000000,650,2700
6,140600000,667,2600
6,140600000,667,2600
6,143470000,667,2600
6,143470000,667,2600
6,140600000,667,2600
7,179000000,845,2300
7,179000000,800,2200
7,179000000,800,2200
7,179000000,800,2200
7,179000000,800,2200
7,165000000,800,2200
7,149000000,800,2200
7,165000000,800,2200
7,179000000,800,2200
7,179000000,800,2200
7,149000000,800,2200
7,179000000,800,2200
7,179000000,800,2200
7,179000000,800,2200
8,75000000,547,2000
989,75000000,500,2100
989,75000000,515,2000
990,69060000,503,2200
991,69000000,542,2200
991,69000000,542,2200
8,75000000,547,2000
8,73500000,547,2000
8,75000000,547,2000
8,75000000,547,2000
8,75000000,547,2000
8,75000000,547,2000
8,75000000,547,2000
8,75000000,547,2000
8,73500000,547,2000
8,73500000,547,2000
8,75000000,547,2000
8,82000000,547,2000
8,75000000,547,2000
8,75000000,547,2000
10,234780000,506,2800
10,234780000,506,2800
10,234780000,506,2800
10,234780000,506,2800
10,234780000,506,2700
9,293470000,515,2600
9,293470000,515,2600
9,293470000,515,2600
10,228250000,506,2900
10,234780000,506,2900
10,234780000,506,2900
10,215210000,505,2900
10,234780000,506,2900
10,234780000,506,2900
10,208690000,505,2900
10,234780000,500,2900
10,234780000,506,2900
10,234780000,506,2900
10,234780000,506,2900
10,234780000,506,2900
10,234780000,506,2900
987,130430000,600,2200
988,143470000,600,2300
988,143470000,600,2200
988,142490000,600,2200
988,143470000,600,2200
988,143470000,600,2200
988,143470000,600,2200
988,143470000,600,2200
988,143470000,600,2200
988,143470000,600,2300
11,130000000,646,2400
11,130000000,646,2400
11,127400000,646,2400
11,130000000,646,2400
11,130000000,646,2400
11,130000000,646,2400
11,127400000,646,2400
11,130000000,646,2400
11,130000000,646,2400
11,130000000,646,2400
11,127400000,646,2400
11,130000000,646,2400
,69000000,550,1500
12,62900000,550,1500
,195650000,702,4800
13,228250000,702,4800
13,195650000,702,4800
13,195650000,702,4800
13,195650000,702,4800
13,195650000,702,4800
13,195650000,702,4800
13,195650000,702,4800
13,195650000,702,4800
13,228250000,702,4800
13,189120000,702,4800
13,195650000,702,4800
984,150000000,500,2200
985,147000000,500,2200
986,182600000,520,2200
986,178950000,520,2200
986,178950000,520,2200
986,178950000,520,2200
986,182600000,520,2200
986,182600000,520,2200
986,182600000,520,2200
986,182600000,520,2200
986,182600000,520,2200
986,182600000,520,2200
14,180000000,490,2000
14,180000000,490,2000
14,180000000,490,2000
14,180000000,520,2000
14,180000000,520,2000
14,180000000,520,2000
14,180000000,490,2000
14,180000000,490,2000
14,180000000,490,2000
14,180000000,520,2000
986,182600000,680,2200
986,182600000,680,2200
986,182600000,680,2200
986,182600000,680,2200
15,154000000,700,2300
15,154000000,700,2300
15,154000000,700,2300
16,180000000,800,4300
16,215000000,773,4000
16,215000000,773,4000
16,215000000,773,4000
16,215000000,773,4000
16,180000000,773,4000
16,215000000,773,4000
16,215000000,773,4000
16,215000000,800,4000
,515210000,1328,5000
17,515210000,1328,4900
18,146730000,695,3500
18,146730000,695,3500
18,146730000,695,3500
18,146730000,695,3500
18,143470000,680,3500
18,143470000,700,3500
18,146730000,695,3500
18,146730000,695,3500
18,136950000,680,3500
18,146730000,695,3500
18,146730000,695,3500
983,143470000,574,2600
983,143470000,574,2600
19,120000000,580,2800
19,120000000,600,2800
19,135000000,573,2800
19,136950000,560,2800
19,120000000,570,2800
19,120000000,600,2800
19,135000000,573,2800
19,135000000,573,2800
981,130430000,441,2800
982,118000000,480,2900
982,118000000,450,2800
982,118000000,450,2800
982,118000000,450,2800
20,130430000,441,2700
20,127820000,440,2800
20,130430000,441,2800
20,130430000,441,2800
20,130430000,440,2800
20,130430000,441,2800
20,130430000,440,2800
20,127820000,440,2800
20,130430000,440,2800
20,130430000,441,2700
20,130430000,440,2800
20,130430000,441,2800
20,130430000,440,2800
20,130430000,441,2800
20,130430000,441,2800
20,130430000,441,2800
20,130430000,440,2800
20,130430000,440,2800
20,130430000,440,2800
20,127820000,440,2800
979,100000000,788,2000
979,100000000,788,2000
979,100000000,788,2000
980,97170000,759,2100
980,97170000,759,2100
980,97170000,759,2100
21,104080000,800,2200
21,97820000,800,2200
21,104080000,800,2200
21,104080000,800,2200
21,104080000,800,2200
21,104080000,800,2200
21,104080000,800,2200
21,104080000,800,2200
21,101080000,800,2200
21,101080000,800,2200
978,94000000,522,2700
22,117390000,520,2800
22,95000000,488,2900
22,95000000,488,2900
22,95000000,488,2900
22,95000000,488,2900
22,117390000,488,2800
22,95000000,488,2900
22,117390000,488,2900
22,95000000,488,2900
22,95000000,488,2900
22,95000000,488,2800
22,95000000,488,2900
973,70000000,485,2400
974,70000000,487,2500
974,70000000,487,2500
975,79800000,460,2500
975,78200000,460,2500
975,79800000,460,2400
975,79800000,460,2500
975,78200000,460,2500
975,78200000,460,2500
975,79800000,460,2500
975,79800000,460,2500
976,70000000,485,2300
976,79800000,460,2500
976,79800000,460,2500
976,79800000,460,2500
976,79800000,460,2500
976,79800000,460,2500
976,79800000,460,2500
977,71080000,450,2500
977,71080000,450,2500
977,71080000,450,2500
999,78260000,489,2400
23,70000000,485,2300
23,70000000,485,2300
23,70000000,485,2300
23,70000000,485,2300
23,70000000,485,2300
23,70000000,485,2300
23,70000000,485,2300
23,70000000,485,2300
23,70000000,485,2400
23,70000000,485,2300
23,70000000,485,2300
23,70000000,485,2300
23,70000000,485,2300
23,70000000,485,2300
23,70000000,485,2300
23,70000000,485,2300
24,73000000,550,3000
24,70000000,600,3000
24,70000000,600,3000
25,150000000,868,3500
25,150000000,868,3500
25,150000000,868,3500
25,150000000,868,3500
25,150000000,868,3500
25,150000000,898,3400
25,150000000,868,3500
25,150000000,868,3500
25,150000000,868,3500
25,150000000,868,3500
25,150000000,868,3500
25,150000000,868,3500
25,150000000,868,3400
,293470000,850,3300
,293470000,850,3300
,254340000,850,3300
,254340000,850,3400
,293470000,850,3300
,293470000,850,3300
,293470000,850,3300
,254340000,850,3300
,130360000,417,1800
,160000000,392,1800
,160000000,392,1800
,129780000,416,1800
,130360000,417,1800
,130360000,417,1800
,129780000,416,1800
,160000000,392,1800
,160000000,392,1800
,130360000,420,1800
,130360000,417,1800
,160000000,392,1800
,160000000,392,1800
,130360000,417,1800
,313040000,1250,10000
,313040000,1525,10000
,313040000,1525,10000
,313040000,1500,10000
,306770000,1525,10000
,306770000,1525,10000
,313040000,1525,10000
,313040000,1525,10000
,313040000,1525,10000
,306770000,1525,10000
,313040000,1525,10000
,85000000,610,2000
,85000000,610,2000
,75000000,600,2000
,85000000,622,1900
,85000000,610,2000
,85000000,610,2000
,85000000,622,1900
,85000000,610,2000
,85000000,622,1900
,85000000,622,1900
,75000000,600,2000
,85000000,622,1900
,85000000,622,1900
,85000000,622,1900
,85000000,610,2000
,60000000,485,2000
,60000000,485,2000
,60000000,485,2000
,60000000,485,2000
,60000000,485,2000
,75000000,497,2000
,60000000,485,2000
,75000000,497,2000
,75000000,497,2000
,60000000,485,2000
,60000000,485,2000
,60000000,485,2000
,60000000,485,2000
,75000000,497,2000
,60000000,485,2000
,75000000,497,2000
,60000000,485,2000
,60000000,485,2000
,60000000,485,2000
,75000000,497,2000
,60000000,485,2000
,75000000,376,2100
,75000000,376,2100
,75000000,376,2100
,75000000,376,2100
,85000000,400,2000
,75000000,376,2100
,70000000,366,2000
,70000000,366,2000
,70000000,366,2000
,70000000,366,2000
,75000000,376,2100
,70000000,366,2000
,70000000,366,2000
,75000000,376,2100
,70000000,366,2000
,70000000,366,2000
,75000000,376,2100
,75000000,376,2100
,70000000,366,2000
,70000000,366,2000
,70000000,366,2000
,70000000,366,2000
,75000000,376,2100
,180000000,826,2800
,163040000,784,3000
,163040000,784,3000
,160000000,826,2800
,175000000,840,2800
,180000000,826,2800
,180000000,826,2800
,180000000,826,2800
,180000000,826,2800
,160000000,826,2800
,159000000,800,3000
,165000000,800,2800
,163040000,784,3000
,165000000,830,2800
,326080000,491,1600
,326080000,491,1600
,273910000,450,1600
,326080000,491,1600
,326080000,491,1600
,273910000,450,1600
,326080000,491,1600
,326080000,491,1600
,275000000,490,2000
,275000000,490,2000
,293470000,450,2000
,293470000,450,2000
,58000000,427,2000
,55000000,428,2000
,57000000,427,2000
,58000000,427,2000
,60500000,430,2000
,58000000,427,2000
,60500000,427,2000
,60500000,427,2000
,55000000,428,2000
,53000000,503,2200
,55000000,506,2000
,182600000,600,2200
,207710000,600,2300
,195650000,600,2300
,210000000,550,2300
,159780000,550,2000
,143470000,500,2200
,143470000,500,2100
,143470000,500,2100
,142820000,500,2200
,143470000,500,2100
,143470000,500,2100
,140600000,500,2100
,140600000,500,2100
,143470000,500,2100
,159780000,550,2000
,159780000,550,2000
,143470000,500,2100
,143470000,550,2000
,108000000,430,2100
,108000000,430,2100
,108000000,430,2100
,89500000,425,2300
,87710000,425,2300
,89500000,425,2300
,89500000,425,2300
,89500000,425,2300
,89500000,425,2300
,89500000,425,2300
,89500000,425,2300
,89500000,425,2300
,108000000,430,2100
,87710000,425,2300
,89500000,425,2300
,87710000,425,2300
,88040000,400,2100
,108000000,430,2100
,89500000,425,2300
,108000000,430,2100
,108000000,430,2100
,91300000,503,2400
,91300000,503,2300
,90000000,477,2200
,107600000,497,2400
,91300000,503,2400
,91300000,503,2400
,91300000,503,2400
,91300000,503,2400
,91300000,503,2400
,91300000,503,2300
,91300000,503,2400
,91300000,503,2400
,163040000,580,2000
,185860000,557,2000
,163040000,600,2000
,163040000,600,2000
,163040000,600,2000
,69120000,497,2500
,71080000,500,2500
,71080000,497,2500
,71080000,497,2500
,65000000,543,2500
,71080000,497,2500
,71080000,497,2400
,65000000,543,2500
,58000000,514,2300
,71080000,497,2500
,65000000,543,2500
,71080000,497,2500
,58000000,514,2400
,71080000,497,2500
,163040000,750,2000
,339120000,680,2000
,339120000,680,2000
,339120000,680,2000
,75000000,737,2000
,146730000,470,3100
,146730000,470,3100
,146730000,470,3100
,135000000,340,1900
,135000000,350,1900
,135000000,350,1900
,145000000,350,1900
,145000000,350,1900
,135000000,350,1900
,135000000,350,1900
,149990000,350,2000
,145000000,350,1900
,135000000,350,1900
,135000000,350,1900
,163040000,367,2000
,135000000,350,1900
,189120000,774,3500
,189120000,774,3500
,189120000,774,3500
,189120000,774,3500
,189120000,774,3500
,189120000,774,3500
,189120000,770,3500
,189120000,774,3400
,254340000,1000,3400
,143470000,500,240
,80000000,919,3500
,80000000,919,3500
,80000000,919,3500
,80000000,926,3500
,80000000,919,3500
,80000000,919,3500
,80000000,919,3500
,80000000,919,3500
,80000000,919,3500
,80000000,919,3500
,80000000,919,3400
,80000000,919,3500
,80000000,919,3400
,70000000,700,1400
,68600000,700,1400
,68600000,700,1400
,70000000,700,1400
,74990000,700,1400
,75000000,700,1400
,68600000,700,1400
,70000000,700,1400
,70000000,700,1400
,70000000,700,1400
,70000000,700,1400
,70000000,700,1400
,74990000,700,1400
,70000000,700,1400
,456510000,800,3500
,456510000,800,3500
,75000000,650,2200
,91300000,630,2400
,89340000,373,2200
,89340000,373,2200
,89340000,373,2200
,89340000,373,2200
,89340000,373,2200
,89340000,373,2200
,195650000,550,3800
,195650000,550,3800
,215210000,600,4000
,195650000,550,3800
,63000000,919,2300
,63000000,920,2300
,63000000,920,2300
,63000000,920,2300
,63000000,920,2300
,63000000,920,2300
,273910000,700,3700
,273910000,700,3700
,143470000,427,2200
,143470000,427,2200
,130430000,411,2000
,143470000,427,2200
,130430000,411,2000
,130430000,411,2000
,130430000,411,2200
,230080000,750,2000
,230080000,750,2000
,230080000,750,2000
,55000000,485,2300
,143470000,600,2500
,143470000,600,2500
,143470000,601,2500
,143470000,601,2500
,143470000,600,2500
,149900000,650,2500
,130000000,646,2500
,150000000,600,2500
,149000000,600,2500
,70000000,455,1700
,70000000,450,1600
,70000000,455,1700
,70000000,455,1700
,70000000,455,1700
,70000000,455,1700
,205430000,385,2500
,205430000,385,2500
,205430000,385,2500
,205430000,385,2500
,205430000,385,2500
,205430000,385,2500
,205430000,385,2500
,205430000,385,2500
,228250000,700,2600
,205430000,694,2600
,234780000,750,2700
,234780000,750,2700
,234780000,750,2700
,228250000,700,2600
,233470000,750,2700
,205440000,694,2600
,234780000,750,2700
,234780000,750,2700
,234780000,750,2700
,234780000,750,2700
,234780000,750,2700
,234780000,750,2700
,72000000,407,1700
,72000000,407,1600
,72000000,407,1700
,72000000,407,1600
,72000000,407,1700
,130430000,500,1800
,54700000,646,2500
,67000000,701,2500
,55000000,386,2000
,55000000,386,2000
,55000000,386,2000
,55000000,386,2000
,80000000,581,2300
